ID;Edad;A¤os 2008-2017;Hijas;Nietas;$ Ult. Campa¤a;$ Ult. Ejercicio;CB
102;48;10;2;0;222743,62;1257969;CI
108;45;10;0;0;144307,46;744822,17;DC
109;55;10;1;1;206479,2;660190,39;CD
113;57;10;3;0;116070;550020,04;SD
115;70;10;5;0;191311,5;956646,13;CS
119;60;10;0;0;143800,62;734873,91;IC
122;56;10;0;0;172832,06;723493,4;DI
125;77;10;7;2;280510,96;1236440,44;ID
132;52;10;0;0;180603,2;635708,89;ID
133;40;10;2;0;141245,8;729547,79;CD
134;59;10;0;0;94577;460713,06;SD
137;67;10;0;0;123549,26;400867,22;CD
139;71;10;0;0;112721,1;570152,86;SD
142;56;10;0;0;166920,82;573147,76;ID
146;51;10;3;0;243380,46;555657,95;SD
147;62;10;0;0;88842,5;333827,25;ID
150;67;10;2;5;177760,68;1279934,3;CD
153;81;10;4;8;107800,34;569917,78;SD
157;61;10;1;1;142172,92;453091,42;SC
158;79;10;2;8;151194,27;870237,67;ID
160;66;10;0;0;69067,14;417304,9;IC
172;68;10;3;2;111892,38;389055,95;IS
175;69;10;0;0;25098,36;1743061,67;IC
178;50;10;1;1;71092,44;457664,86;SD
179;79;10;3;2;203377,74;1098627,11;IC
183;72;10;1;0;130187,28;652133,16;SI
187;41;10;3;2;172226,72;515709,4;CD
192;64;10;1;0;75583,47;500052,62;SC
197;62;10;0;0;134263,4;687213,7;ID
203;60;10;0;0;63075,02;305505,97;IC
213;72;10;9;10;141522,23;478029,95;IS
231;65;10;8;2;298591,44;1365344,23;DS
245;68;10;0;0;149042,32;809755,73;SI
260;54;10;0;0;154513,23;563420,77;DC
285;64;10;8;1;176727,97;989680,75;IC
320;56;10;1;0;94218,86;579669,8;CI
322;66;10;1;1;174348,8;2318862,93;DS
328;61;10;2;2;46231,69;271013,58;IS
331;60;10;1;0;126734,32;769695,4;SD
334;59;10;0;0;152862,48;1228245,08;ID
344;71;10;3;10;217945,78;1468104,37;CI
374;44;10;2;1;209666,9;1170947,12;DC
378;51;10;0;0;195709,63;829264,89;CS
379;40;10;0;0;168323,1;1143058,76;IC
380;66;10;0;0;90599,98;455526,14;IS
381;67;10;0;0;270079,94;1260145,82;IS
385;54;10;1;1;168433,79;773916,02;IC
394;68;10;1;0;68250,6;458961,17;IS
419;78;10;0;0;121946,06;537097;SD
421;58;10;1;0;141321,42;1887500,05;SC
432;38;10;0;0;107713,16;345539,65;IC
457;33;10;7;5;458871,53;1134681,09;IC
464;78;10;0;2;81666,84;289438,98;CD
474;54;10;0;0;159558,32;1083709,38;IS
496;54;10;0;0;167012,9;1023561,94;ID
498;57;10;0;0;6915,32;600300,02;DS
499;59;10;0;0;78385,86;304695,8;ID
500;48;10;0;0;238425,44;1113291,83;IC
501;66;10;1;0;80941,52;662479,59;IC
508;55;10;2;1;109648,4;431857,78;SD
549;56;10;3;2;386329,25;1353556,75;IC
558;67;10;0;0;109146,83;655665,98;SD
570;59;10;0;0;86251,62;350569,56;DC
584;39;9;4;12;196475,65;957027,17;DS
587;38;9;1;1;138689,75;539513,09;IS
588;53;9;1;0;267796,37;1737862,47;IC
593;65;9;0;0;186280,04;771128,87;ID
617;54;9;0;0;81391,46;304193,26;SC
621;72;9;0;0;68784,06;334112,84;SD
622;62;9;3;2;729520,2;2796286,11;DS
623;58;9;14;26;232879,61;1080523,24;IS
635;64;9;0;0;59562,22;236726,44;IC
661;71;9;1;0;229291,54;891518,75;IC
675;65;9;0;0;53301,58;231996,19;DS
685;35;9;1;0;215139,46;1001578,59;IS
686;64;9;0;0;85420,84;380096,84;CS
693;45;9;0;0;96539,19;330229,4;DC
707;80;8;2;0;116621,28;290617,1;IC
712;61;8;2;0;265723,36;1083208,48;SD
720;53;8;3;1;396104,56;1344855,45;SD
723;71;8;0;0;94648,42;412006,19;SD
728;37;8;2;1;181816,28;1003799,88;ID
738;72;8;0;0;150759,27;641337,13;DI
747;44;8;2;1;187356,68;764754,63;IC
753;48;8;0;0;147975,88;440168,95;DC
758;74;8;0;0;91519,62;292316,08;IS
759;31;8;1;0;128218,18;619920,32;SD
766;51;8;0;0;95298,82;627628,84;IC
768;47;8;0;0;289568,32;1227780,59;IS
772;58;8;1;1;90902,06;474034,13;IC
776;46;8;0;0;174805,2;735125,26;SD
780;35;8;1;0;127416,64;658824,17;SD
781;64;8;0;0;105397,36;510653,78;SD
814;40;8;2;0;161824,02;613713,2;DC
824;58;7;0;0;96279,66;177541,31;IC
827;43;7;0;0;131901,55;686981,49;SD
828;46;7;0;0;83238,54;434534,3;CD
838;56;6;0;0;114430,52;534778,88;CD
850;54;6;3;4;104279,74;581363,56;DS
858;49;7;0;0;134090,2;607174,57;ID
866;52;6;0;0;228279,92;721140,54;IC
874;43;6;1;0;186626,3;974529,57;IC
881;32;6;0;0;84414,22;389818,52;DS
888;33;6;1;0;84260,05;483905,8;CD
899;34;6;1;0;136243,88;567895,31;IC
912;41;5;0;0;177496,42;440454,54;ID
914;36;6;0;0;39037,06;145847,53;DC
920;59;6;0;0;64972,98;348948,67;SI
923;54;6;1;0;96290,47;359181,2;SD
938;40;4;0;0;33922,57;67559,59;SD
942;41;5;1;0;239880,46;904159,55;IC
952;40;5;1;0;225342,03;998425,67;IC
966;41;5;0;0;111463,44;384022,79;SI
971;58;5;1;0;107728,04;544731,22;SI
972;66;5;8;9;165640,92;1006648,85;DS
986;41;5;1;0;120982,14;470588,88;SD
995;58;5;0;0;57009;449646,44;ID
996;32;5;0;0;105011,56;469978,67;IS
1004;57;5;3;1;213837,47;704998,14;DS
1022;62;5;0;0;142881,29;557800,55;DS
1024;54;5;0;0;85927,18;326001,32;DI
1042;28;4;0;0;225145,5;558637,14;SD
1043;49;3;0;0;66577,48;305034,25;SC
1047;64;4;0;0;98299,33;401963,17;SD
1053;61;4;0;0;44051,24;178761,37;SD
1056;47;4;0;0;99565,5;344852,04;IS
1059;37;4;1;0;140554,8;541815,38;IC
1064;45;4;2;0;348559,14;683985,83;DC
1074;32;4;0;0;83068,26;503078,88;SI
1075;36;4;0;0;96010,24;265081,02;DS
1080;56;4;1;0;54752,43;279305,41;SD
1088;59;4;0;0;66342,39;411041,58;SI
1089;50;4;0;0;219735,84;1405671,05;IC
1091;45;4;0;0;101393,98;371067,13;IS
1092;32;4;1;0;113774;518324,18;DC
1094;44;4;0;0;96516,53;454108,39;IC
1104;59;4;0;0;49999,04;268949,41;CI
1105;50;4;5;1;296025,74;869689,2;ID
1108;43;4;0;0;86720,9;338717,12;IS
1109;54;4;0;0;57341,98;181745,73;SD
1112;57;4;0;0;171340,32;560813,03;ID
1121;42;4;0;0;86025,24;806314,55;IC
1125;37;3;0;0;111166,6;515075,57;ID
1126;47;4;0;0;99565,26;241924,38;IS
1130;44;3;0;0;167099,74;772216,01;IC
1131;32;3;0;0;183594,4;436527,86;DS
1149;55;3;3;0;46661,14;388424;CS
1153;51;3;0;0;93641,34;402065,87;IS
1165;39;3;0;0;99100,54;275041,18;SD
1166;57;3;0;0;96493,86;281506,35;ID
1168;57;3;1;0;86455,96;422858,82;DS
1173;33;3;0;0;47413,07;307361,04;SD
1178;49;3;2;0;144897,12;805677,68;ID
1187;44;3;0;0;121834;526581,16;ID
1192;66;3;0;0;143147,66;262322,64;CD
1197;38;3;0;0;79623,16;477068,97;CI
1211;32;3;1;0;92688,72;451522,6;SD
1218;57;3;1;0;74591,96;367297,34;IC
1224;33;3;0;0;82520,72;252496,53;DC
1234;36;3;0;0;126248,36;439868,34;DS
1236;49;3;0;0;75246,24;446300,15;CI
1251;46;3;0;0;113655,24;296461,38;IS
1253;43;3;1;0;213710,52;732204,67;IC
1259;44;3;0;0;244427,14;242317,65;DS
1261;43;3;0;0;148306,38;348288,63;SD
1277;35;2;1;0;132033,72;419268,57;IS
1287;34;2;0;0;77494,08;295441,46;ID
1303;42;2;0;0;68509,34;249411,58;ID
1304;61;2;1;0;80707,16;308539,64;IC
1310;51;2;0;0;60044,1;188021,67;ID
1318;37;2;0;0;79905,34;230075,13;SI
1320;39;2;0;0;141497,84;204045,2;IC
1328;43;2;0;0;92384,34;161482,99;IC
1333;40;2;0;0;164935,66;228737,77;ID
1345;42;2;0;0;44010,74;74096,24;ID
1348;43;2;0;0;59217,42;13412,47;IS
1350;69;2;0;0;83948,04;46003,49;DC
1353;54;2;0;0;104255,36;58984,02;IC
